ticker,company_name,sector,theme_id,theme_label,first_year,last_year,first_rate_per_10k_words,last_rate_per_10k_words,change_per_10k_words,observed_years
GS,Goldman Sachs,Financials,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.089078,6.567301,4.478222,9
GS,Goldman Sachs,Financials,customers_and_service,Customers and service,2016,2024,21.517506,29.267318,7.749811,9
GS,Goldman Sachs,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,27.575834,30.980527,3.404693,9
GS,Goldman Sachs,Financials,employees_and_workplace,Employees and workplace,2016,2024,25.695663,26.697504,1.001841,9
GS,Goldman Sachs,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,5.849419,36.120153,30.270734,9
GS,Goldman Sachs,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,3.969249,6.281766,2.312517,9
GS,Goldman Sachs,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,1.462355,4.996859,3.534504,9
GS,Goldman Sachs,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,2.506894,6.710068,4.203174,9
GS,Goldman Sachs,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,28.202557,36.405688,8.203131,9
GS,Goldman Sachs,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.0,2.855348,2.855348,9
GS,Goldman Sachs,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,89.203643,79.521444,-9.6822,9
GS,Goldman Sachs,Financials,social_impact_and_community,Social impact and community,2016,2024,4.595972,5.282394,0.686422,9
HAL,Halliburton,Energy,collaboration_and_partnership,Collaboration and partnership,2016,2024,0.527051,2.646603,2.119552,9
HAL,Halliburton,Energy,customers_and_service,Customers and service,2016,2024,10.804543,12.287799,1.483256,9
HAL,Halliburton,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,15.548001,18.52622,2.978219,9
HAL,Halliburton,Energy,employees_and_workplace,Employees and workplace,2016,2024,20.81851,19.660479,-1.158031,9
HAL,Halliburton,Energy,environment_and_sustainability,Environment and sustainability,2016,2024,10.013967,25.331771,15.317804,9
HAL,Halliburton,Energy,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,23.190239,26.844115,3.653876,9
HAL,Halliburton,Energy,innovation_and_excellence,Innovation and excellence,2016,2024,1.317627,2.835646,1.518019,9
HAL,Halliburton,Energy,integrity_and_ethics,Integrity and ethics,2016,2024,3.689356,3.024689,-0.664667,9
HAL,Halliburton,Energy,leadership_and_accountability,Leadership and accountability,2016,2024,18.710306,22.118038,3.407732,9
HAL,Halliburton,Energy,purpose_and_identity,Purpose and identity,2016,2024,0.527051,0.0,-0.527051,9
HAL,Halliburton,Energy,shareholders_and_performance,Shareholders and performance,2016,2024,1.581153,40.833302,39.252149,9
