ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
INTC,2023,collected,https://www.sec.gov/Archives/edgar/data/50863/000005086323000021/intc-20230327.htm,part2_lived_values/data/raw/filings/intc_2023_000005086323000021.htm,3219657,22fc8ce35844094768801ad2d021b81313d15d7177cee98292fdcc19d286830f,
INTC,2024,collected,https://www.sec.gov/Archives/edgar/data/50863/000005086324000057/intc-20240327.htm,part2_lived_values/data/raw/filings/intc_2024_000005086324000057.htm,2869359,6cb6abe400c7a0bdc529d2acaf0e0523f7ba72b55ccc10313cd82d045c440eeb,
BRK.B,2016,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312516501649/d117328ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2016_000119312516501649.htm,213073,89b93444441887b6ab50170e1303e460b8ab57982a309b52525bbd8ea0fd7e25,
BRK.B,2017,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312517087493/d305499ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2017_000119312517087493.htm,254512,090a2baa324072fc5d1ff12f9f40392f56bdb7bc2503aedd71b46604eab38564,
BRK.B,2018,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312518086050/d526293ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2018_000119312518086050.htm,257094,71d381c8e55e1e179f2a059b46881edc666952bbfbe5f2eadb662a8d74028595,
BRK.B,2019,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312519076915/d684203ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2019_000119312519076915.htm,232912,48f7dbe09493828232641b87e3bb655dc88ec573b3f5b4b6246f03cf3c7467c0,
BRK.B,2020,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312520072952/d856491ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2020_000119312520072952.htm,266303,ed72c7b922f066cb2134ce36ea1df4c354288a4bc8f2ec9f42f055afd5f9456d,
BRK.B,2021,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312521080418/d938053ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2021_000119312521080418.htm,267995,61718efab0ec58a42fc2efb53d1408ea36305cdcc241127ae5aeb8067626e866,
BRK.B,2022,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312522073447/d208624ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2022_000119312522073447.htm,249343,6bdba0150f454ac48ae8093803f4f5087184144b72437f39af38e085357e5e53,
BRK.B,2023,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312523073948/d362436ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2023_000119312523073948.htm,358334,2e311ed432bf5fe79b2493dd3eddf9effecab8f3687dc11f6c48e815ba0f2d2b,
BRK.B,2024,collected,https://www.sec.gov/Archives/edgar/data/1067983/000119312524069107/d512828ddef14a.htm,part2_lived_values/data/raw/filings/brk-b_2024_000119312524069107.htm,357753,3cd74a37b793629a163b40587b12ca76b5f3ea71859295540cbcc31b48507713,
JPM,2016,collected,https://www.sec.gov/Archives/edgar/data/19617/000001961716000933/jpmc2016definitiveproxy.htm,part2_lived_values/data/raw/filings/jpm_2016_000001961716000933.htm,2400310,f3f5d319b313ec497eed7d76a5ff1e043e8e74fc5b12c25eef32f292eda6c1f9,
JPM,2017,collected,https://www.sec.gov/Archives/edgar/data/19617/000001961717000340/jpmc2017definitiveproxy.htm,part2_lived_values/data/raw/filings/jpm_2017_000001961717000340.htm,2525794,480d6fdab2128e3a49acd77b26b48a4b7f70d583ca1d2f04a76e789c4012d4ba,
JPM,2018,collected,https://www.sec.gov/Archives/edgar/data/19617/000001961718000077/jpmc2018definitiveproxy.htm,part2_lived_values/data/raw/filings/jpm_2018_000001961718000077.htm,3017088,71e420cdeca7fcab1d7de455007703fdd42e446cf15f100b2ff0e3d4fb1e0cb2,
JPM,2019,collected,https://www.sec.gov/Archives/edgar/data/19617/000119312519098338/d695908ddef14a.htm,part2_lived_values/data/raw/filings/jpm_2019_000119312519098338.htm,1879843,5b94753c752114a66a8597b90865dc43ceadc23a372c3e8aacd6d4d43f65e69d,
JPM,2020,collected,https://www.sec.gov/Archives/edgar/data/19617/000119312520098865/d822689ddef14a.htm,part2_lived_values/data/raw/filings/jpm_2020_000119312520098865.htm,1887710,a82860b429a41ae6bb3c2434eeab8e3aa3f2072a8b01537b3d1fe2e992ef44f4,
