doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
AAPL-2017,AAPL,Apple,Technology,2017,0001193125-17-003753,3a2c643257710e31ca83aeb57cb2b639def5965da00505b60e62b561abfa1a16,nmf_topic_1,0.12162936,0.12162936,0.02455482,0.00518499,0.03962657,0.0,0.05400335,0.03126565,0.0
AAPL-2019,AAPL,Apple,Technology,2019,0001193125-19-004664,fe16f17ab54a3ad72d0e182f07f1a8652f80b86323329549be2a41d12608dc4e,nmf_topic_1,0.10357187,0.10357187,0.04410325,0.03028123,0.03394619,0.0,0.03889612,0.02671783,0.0
AAPL-2020,AAPL,Apple,Technology,2020,0001193125-20-001450,66718f6df5ae372e4a1ebdb15335f523e6222fd5c90535b8f70e9db1fb2be73d,nmf_topic_1,0.09514752,0.09514752,0.00123337,0.04897523,0.05423742,0.0,0.05069002,0.02182831,0.01162288
AAPL-2021,AAPL,Apple,Technology,2021,0001193125-21-001987,8cba184b803455958373265e60f6c83b254c42bfca146944f0dc633b623a2708,nmf_topic_4,0.10519211,0.05391206,0.05579946,0.04632129,0.10519211,0.0,0.01108878,0.02513433,0.0
AAPL-2022,AAPL,Apple,Technology,2022,0001193125-22-003583,f4dcb85d8ec10283f6c778c95cb6fd6856319b21ce1c1ccb9e7e5d5563db36ec,nmf_topic_7,0.17375557,0.00733964,0.03089303,0.05384927,0.08255259,0.0019369,0.0,0.17375557,0.0
AAPL-2023,AAPL,Apple,Technology,2023,0001308179-23-000019,7cf39402dc027106cd293b75b543f9f43876402bc40c722912f8eaa36cdf9d74,nmf_topic_7,0.19609882,0.0,0.0,0.03013497,0.11893268,0.0,0.0,0.19609882,0.0
AAPL-2024,AAPL,Apple,Technology,2024,0001308179-24-000010,8ce552ab4b0a33e6065ce906fa8ea04184782804b3afbecfe35bcaa4f005ed41,nmf_topic_7,0.20255703,0.0,0.0,0.02834868,0.11289827,0.0,0.0,0.20255703,0.0
NVDA-2016,NVDA,NVIDIA,Technology,2016,0001045810-16-000229,74f7a62b7332feda193452643578ffc9af24b66d89c9c98494d471ceed5bf2d4,nmf_topic_1,0.17326592,0.17326592,0.0,0.02664279,0.0,0.0,0.0,0.05714816,0.0
NVDA-2017,NVDA,NVIDIA,Technology,2017,0001045810-17-000063,1664d8ef8c4f64fde6204469748e2f56a7b3ea310eba1f090858f9c521aba082,nmf_topic_1,0.18553327,0.18553327,0.0,0.02052189,0.0,0.0,0.0,0.06512386,0.0
NVDA-2018,NVDA,NVIDIA,Technology,2018,0001045810-18-000047,ee4589fdbca5e96d7c5deee924bc0ffd4f375e990cce5026fd4b0aa8577966eb,nmf_topic_1,0.1783912,0.1783912,0.0,0.01264115,0.0,0.0,0.0,0.06731466,0.0
NVDA-2019,NVDA,NVIDIA,Technology,2019,0001045810-19-000070,e10388bf9a0cff1312884951af006366cc47410c2347a0ce7448bd76df7111c4,nmf_topic_1,0.17828549,0.17828549,0.0,0.01091038,0.0,0.0,0.0,0.07434671,0.0
NVDA-2020,NVDA,NVIDIA,Technology,2020,0001045810-20-000055,189ab595d8283ff30a0b341a11da69efe7dbb8c705dcb200452410d061ce6491,nmf_topic_1,0.16540256,0.16540256,0.0,0.01807997,0.0,0.0,0.0,0.07699591,0.0
NVDA-2021,NVDA,NVIDIA,Technology,2021,0001045810-21-000052,0f4db38108c16bb3b3b28e38584f3ada6fb8b84a23055bbe798b6a1c93afb725,nmf_topic_7,0.17165384,0.13913912,0.0,0.02449628,0.0,0.0,0.0,0.17165384,0.0
NVDA-2022,NVDA,NVIDIA,Technology,2022,0001045810-22-000067,fc65ffa8a849b555e88346ccd5be88dc4a730224548cd8712e29158fb3f8d3cf,nmf_topic_7,0.19339659,0.12043444,0.0,0.00395191,0.01772836,0.0,0.0,0.19339659,0.0
NVDA-2023,NVDA,NVIDIA,Technology,2023,0001045810-23-000080,50ef66d4b45cdceac9b9690045a4abdecb5bf04a81cb27091e7a430b51771a60,nmf_topic_7,0.20631105,0.11860009,0.0,0.0,0.01995475,0.0,0.0,0.20631105,0.0
