doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
AMZN-2017,AMZN-2020,AMZN,AMZN,2017,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.98684579
JNJ-2021,JNJ-2022,JNJ,JNJ,2021,2022,Healthcare,Healthcare,True,True,0.98684013
HD-2016,HD-2021,HD,HD,2016,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.98676777
XOM-2023,XOM-2024,XOM,XOM,2023,2024,Energy,Energy,True,True,0.98676282
TJX-2016,TJX-2017,TJX,TJX,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.98674321
LLY-2019,LLY-2021,LLY,LLY,2019,2021,Healthcare,Healthcare,True,True,0.98665738
C-2016,C-2020,C,C,2016,2020,Financials,Financials,True,True,0.98663098
LLY-2018,LLY-2021,LLY,LLY,2018,2021,Healthcare,Healthcare,True,True,0.98662221
TJX-2016,TJX-2018,TJX,TJX,2016,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.98648828
TJX-2016,TJX-2020,TJX,TJX,2016,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.98639214
TMO-2019,TMO-2020,TMO,TMO,2019,2020,Healthcare,Healthcare,True,True,0.98635447
C-2016,C-2019,C,C,2016,2019,Financials,Financials,True,True,0.98628384
